,@Username,Tweet,Lokasi
104,KebenaranLambe,"@nikizeflop @ANTAREUSSS @flopnezMo @LMH1640 @kak_jill @HattersBusuk @nikizefanya Sandiaga uno be like this 🤣setelah momon kebanyakan bacot i wanna win my first grammy di tv"" lokal tapi malah jdi bunga tidur yg mustahil terwujud wkwkwk😂😂😂😂 https://t.co/9suUlZP48e",
105,linisulsel,"Sandiaga Uno Dapat Badik Saat Kunjungi Stand Pameran INACRAFT Luwu 

https://t.co/FvBmsMbgG9 https://t.co/KitaVLeP3t",Kabupaten Gowa & Kota Palopo
106,didiseharian,"@blondeebonyy dr Indra bilang di primata hospital , punya mas Sandiagauno",di hatimu
107,rkrijuara,"Survei Cawapres Median Via FB: Ridwan Kamil @ridwankamil
Teratas disusul AHY dan Sandiaga Uno 
https://t.co/o9IMRfijBj","Jawa Barat, Indonesia"
108,mediaindonesia,"Sebagai super mentor, Sandiaga Uno memberikan motivasi dan kisi-kisi sukses dimasa mendatang dan peningkatan media digitalisasi kepada para milenial.  https://t.co/S5BoAkZdgt",Jakarta - Indonesia
109,nailnisaa,Menparekraft Sandiaga Uno Resmi Buka Ajang INACRAFT 2023 #pameran #produkkerajinanterbesar #internationalhandicrafttradefair https://t.co/ToTGERKJuZ,"Bogor, Jawa Barat"
110,PedomanRakyat,"Kunjungi Stand Dekranasda Luwu, Sandiaga Uno Apresiasi Badik Luwu https://t.co/sdQoFtuPfL",Indonesia
111,okezonenews,"Buka Inacraft 2023, Sandiaga Uno: Kita Harus Bangga Buatan Indonesia. #LengkapCepatBeritanya #Keuangan #Ekonomi #Ekonomi #EkonomiIndonesia . https://t.co/iXNpNfdrnz",Jakarta
112,upiqjie,"Kunjungi Stand Dekranasda Luwu, Sandiaga Uno Apresiasi Badik Luwu https://t.co/mUg55vW2UT https://t.co/6WSDAniU0c","Makassar, Indonesia"
113,Bangbaros2,@bachrum_achmadi Kita lht saja nnti apakah Pak Eric Thohir dan Pak Sandiaga Uno wara wirii k venue FORMULA E... Kkwkw,
114,soloposdotcom,"Ridwan Kamil Bakal Cawapres Terfavorit, Disusul AHY dan Sandiaga Uno https://t.co/La5DhzNPEw","Solo, Central Java, Indonesia"
115,pinyfoxofficial,"Disisi lain, kemenparekraf, Bapak Sandiaga Uno mengatakan bahwa praktik pembelian barang bekas ini dapat membantu mengatasi seperti mengurangi permasalahan lingkungan.
#HaveGoodDay",Indonesia
116,AsixChanel,@DoankWarto Kalau saya pengen nya Prabowo yg jadi presiden wakil nya kalau bisa ya Ridwan Kamil atau Sandiaga Uno.. kalau sekarang saya dukung Prabowo karena Prabowo yg sekarang udah bersih dari gerombolan kadrun..,
