,@Username,Tweet,Lokasi
487,twettyayu,"""Ada tiga sosok capres alternatif dengan elektabilitas paling tinggi. Mereka masing-masing Ridwan Kamil, Sandiaga Uno, dan Agus Harimurti Yudhoyono (AHY),"" kata Peneliti Litbang Kompas Eren Marsyukrilla.
#BersamaJuara",
488,gusbayu,"Praktik Jual Beli Kepala Bikin Pariwisata Bali Merugi, Sandiaga Uno Merespons Tegas: Cabut! https://t.co/E9MhOAjnuG",dipermukaan bumi
489,regulusmoatman,"Sekarang permasalahan pejabat mangkir pajak viral kapan pejabat yang terduga menghindari pajak dari bocornya Panama Papers seperti Sandiaga Uno, Erick Thohir, dan Jhonny G Plates bakal diinvestigasi? @korantempo @NarasiNewsroom @DitjenPajakRI",
490,AmperaRampes,"@AkuAtikaFaya @PKSejahtera Kenapa gak muka lo aja templokkin k... o l kudanya  agar jalan cepat.
Dasar otak Dengkul hati iblis.
50 M mah kecil. Asal sandiaga Uno bisa klarifikasi dgn jujur isi  dan data surat pernyataannya
Di depan Anis Di TV One di jutaan mata secara langsung. 
 Siap jual Ptng Onta 3 T. https://t.co/MXOgwjTfbm",
491,Teropong62,"Sandiaga Uno, Erick Thohir, atau Ridwan Kamil kira-kira siapa yang cocok yah ?

GP Ansor Anissa Aziza Bapaknya
Agnes Umur 15 SEHUN NISEU COTY Narnia Rubicon Kuda Morningg 
#Ganjar 
#ganjarpranowo 
#ganjarbertanggungjawab 
#SiEnengGoPublic 
#RespectGiselle 
#JENOatMFW
#ข่าวลือ https://t.co/V1MwAIGi0R",
492,H3Anisa_,"Sebagai capres alternatif, elektabilitas RK berada di angka 22,7 persen, lebih unggul daripada Sandiaga Uno di posisi kedua dengan elektabilitas 7,3 persen dan Agus Harimurti Yudhoyono (AHY) di posisi ketiga dengan elektabilitas 5,8 persen. #BersamaJuara #RKGolkar",
493,sobat_sandi,"Belajar bikin konten sambil seru-seruan bareng Mas Menteri @sandiuno dan @nasdaily 👏

#sandiagauno  #Indonesia #Twitter #viral #Trending #zonauang   terbukti kerjanya mengabdi tanpa lelah valid no debat sabtu #SaturdayMorning #Russia Russia #Palestine #Turkey #ContentCreator https://t.co/rltmYv9Tgs",
494,fathw25,"Sandiaga Uno Menyatakan Siap Nyapres, Politikus Gerindra Tegaskan Prabowo Harga Mati - https://t.co/5LpIx3NXOt - Nasional https://t.co/5LpIx3NXOt https://t.co/Gp0PSHvl1A #IndonesiaKuat #BangkitBersama",
495,ricko_liquid,"Gandeng Kadin DKI Jakarta, Sandiaga Uno Bakal Ciptakan 4,4 Juta Lapangan Kerja

 #Sindonews #BukanBeritaBiasa .https://t.co/NBruk5Pmpo","Purworejo, Indonesia"
496,SINDOnews,"Gandeng Kadin DKI Jakarta, Sandiaga Uno Bakal Ciptakan 4,4 Juta Lapangan Kerja

 #Sindonews #BukanBeritaBiasa .https://t.co/MqmSC42XAg","Jakarta Pusat, DKI Jakarta"
497,ricko_liquid,"Berkunjung ke Kendari, Sandiaga Uno Ingin Lapangan Kerja Lebih Terbuka

 #Sindonews #BukanBeritaBiasa .https://t.co/Ps9rH9LAHm","Purworejo, Indonesia"
498,SINDOnews,"Berkunjung ke Kendari, Sandiaga Uno Ingin Lapangan Kerja Lebih Terbuka

 #Sindonews #BukanBeritaBiasa .https://t.co/xcw1meYNP7","Jakarta Pusat, DKI Jakarta"
499,salsabil_mah,"Cerita Sandiaga Uno Hatinya Dibikin Tersentuh Prabowo: Tak Akan Saya Lupakan.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Prabowo Pilihan Kita",
500,andy_sani,"Cerita Sandiaga Uno Hatinya Dibikin Tersentuh Prabowo: Tak Akan Saya Lupakan.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Prabowo Pilihan Kita",
501,DetrianaSherly,"Sandiaga Uno menjawab isu keretakan dirinya dengan Ketua Umum Partai Gerindra, Prabowo Subianto.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Prabowo Pilihan Kita",
